*Time 	Charge
0.000191989934529053	-1.81032499872862E-8
0.000192008495147386	-1.8131244141257E-8
0.000192022860958926	-1.81485502088351E-8
0.000192035346787163	-1.81624364719881E-8
0.000192046498931527	-1.81738368726331E-8
0.000192054768280142	-1.81810212327388E-8
0.000192061479498417	-1.81868523107814E-8
0.000192065749785302	-1.819238004324E-8
0.000192069129815982	-1.81972136889486E-8
0.000192072469157112	-1.8202109208598E-8
0.000192074365470261	-1.82049952842304E-8
0.000192077427796815	-1.82097340894047E-8
0.000192078625851596	-1.82115968614844E-8
0.000192080625851596	-1.82146971032673E-8
0.000192082625851596	-1.82177776832627E-8
0.000192086625851596	-1.82238452282989E-8
0.000192092100731393	-1.82318964061494E-8
0.000192098275565667	-1.82406330061188E-8
0.000192107078194338	-1.82509399427362E-8
0.000192122023684348	-1.82653018929021E-8
0.00019214224831918	-1.82821892147529E-8
0.000192166734932373	-1.83033805727687E-8
0.000192209974535912	-1.8337441921583E-8
0.000192256342269595	-1.83681387118008E-8
0.000192303220072574	-1.83887606805858E-8
0.000192338895306564	-1.84022148620989E-8
0.000192367237131337	-1.84112807460253E-8
0.000192390493093639	-1.84167376702377E-8
0.000192410041677696	-1.84213222073349E-8
0.000192428633070568	-1.84255674294268E-8
0.000192452402468477	-1.84292463119456E-8
0.000192485139341891	-1.84336731324249E-8
0.0001925335242985	-1.84385548206438E-8
0.000192605688478942	-1.84410202619482E-8
0.000192712139232692	-1.86062801738212E-8
0.000192871856964	-1.87326496903315E-8
0.000193132103302951	-1.87287747981777E-8
0.000193652595980854	-1.86410921799475E-8
0.000194693581336658	-1.8894028198586E-8
0.000196361267243113	-1.88931612170329E-8
0.00019891002969063	-1.91884923271845E-8
0.000199547220302509	-1.95629036037613E-8
0.00020069507211331	-1.94827390073655E-8
0.000201980110342979	-1.98254793574324E-8
0.000203854628415602	-2.04260578816453E-8
0.000207603664560848	-2.1140076013515E-8
0.000215101736851341	-2.18182887249914E-8
0.000218642594106452	-2.19695397674256E-8
0.000220778189760173	-2.2022419859139E-8
0.000222610944164408	-2.24731146468233E-8
0.000225603020642092	-2.27852789383172E-8
0.00022635728638632	-2.33803132919776E-8
0.000226415981389257	-2.34053730608661E-8
0.000226533371395132	-2.34382059265507E-8
0.0002265627188966	-2.34430513723816E-8
0.000226585418856333	-2.34467727899903E-8
0.000226594928473671	-2.34483042221945E-8
0.000226600248620618	-2.34491612456307E-8
0.000226604912370766	-2.34499125475906E-8
0.000226610178263292	-2.34507608665432E-8
0.000226619741610618	-2.34523015223508E-8
0.000226624951751169	-2.34531408902576E-8
0.000226635311124557	-2.34548090427616E-8
0.000226648840364465	-2.3456957202775E-8
0.000226668074477344	-2.34577317419859E-8
0.000226697630293671	-2.34581960891124E-8
0.000226733615857118	-2.34587411041586E-8
0.000226765540176957	-2.34592301688618E-8
0.000226799085499291	-2.34597367570361E-8
0.000226825282525996	-2.34587774016199E-8
0.000226853597209835	-2.34565315569981E-8
0.000226892849703105	-2.34534304324337E-8
0.000226932626528301	-2.34502960760446E-8
0.000226971678295928	-2.34472522832205E-8
0.000227008921229867	-2.34424010821612E-8
0.000227043874600466	-2.34376104013235E-8
0.000227076955354588	-2.34330775008097E-8
0.000227114028991984	-2.3427993269618E-8
0.000227156300909816	-2.34221921935758E-8
0.000227206311001983	-2.34145496684044E-8
0.00022726828435312	-2.34036854097354E-8
0.00022731134569432	-2.33961380891437E-8
0.000227348491134582	-2.3389630780743E-8
0.000227369113539863	-2.33860187423973E-8
0.000227387281563978	-2.33826457120223E-8
0.000227402438127785	-2.3379683147183E-8
0.000227414175242698	-2.33773885323434E-8
0.000227420935302084	-2.33795671409813E-8
0.000227426465963271	-2.33825782581355E-8
0.00022743038569699	-2.33851030072125E-8
0.000227432571231662	-2.33865855510965E-8
0.000227434390301996	-2.33878301666243E-8
0.000227436867715977	-2.33895116222482E-8
0.000227438265198116	-2.33904430785308E-8
0.000227440783189822	-2.33920766217839E-8
0.000227443839635358	-2.3393970228699E-8
0.000227447552601553	-2.33961262161163E-8
0.000227453496624453	-2.3399259743489E-8
0.000227465358699754	-2.34046886522291E-8
0.00022748030730165	-2.34101738449967E-8
0.000227499842639141	-2.34152677052943E-8
0.000227523343001429	-2.34186712309842E-8
0.00022754341017133	-2.34196426135987E-8
0.000227577307307456	-2.34181357881054E-8
0.000227621238139716	-2.34127242258467E-8
0.000227660649202415	-2.34060710426722E-8
0.00022769433919771	-2.33996866326021E-8
0.000227724027952409	-2.33937954971123E-8
0.000227750714757757	-2.33883336943938E-8
0.000227775824718258	-2.33829845353308E-8
0.000227800796100715	-2.33776383950551E-8
0.000227826747024025	-2.33720692712594E-8
0.000227859381359294	-2.33650918481191E-8
0.000227901754189959	-2.33560265267151E-8
0.000227957655840359	-2.33440705021339E-8
0.000228031765805392	-2.33279524629899E-8
0.000228132130793982	-2.33060914872069E-8
0.000228276276714772	-2.3274947427355E-8
0.000228508644357475	-2.32718239269703E-8
0.00022897337964288	-2.3481055515983E-8
0.00022990285021369	-2.35827746169387E-8
0.000231530819773862	-2.4010593118403E-8
0.000234052998545875	-2.41191399028735E-8
0.000234683543238878	-2.44670298441401E-8
0.000235719800386742	-2.46126804155358E-8
0.000236959066104996	-2.44089773425317E-8
0.00023859955028754	-2.47060857420996E-8
0.000241880518652629	-2.56126574519024E-8
0.000248442455382806	-2.62066021420458E-8
0.00025183817342098	-2.66903581972007E-8
0.000254154309635532	-2.68653580190091E-8
0.000256468238155178	-2.7942686190666E-8
